         1497223 function calls (1446598 primitive calls) in 64.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.094    0.094 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/resources/beta/chat/chat.py:1(<module>)
        1    0.000    0.000    0.094    0.094 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/resources/beta/chat/completions.py:1(<module>)
     1910    0.029    0.000    0.091    0.000 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/audio_manager.py:82(get)
        1    0.000    0.000    0.086    0.086 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/call_manager.py:1(<module>)
        1    0.000    0.000    0.078    0.078 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/requests/__init__.py:1(<module>)
     2624    0.012    0.000    0.074    0.000 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3052(max)
  292/290    0.000    0.000    0.073    0.000 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/pydantic/_internal/_model_construction.py:522(set_model_fields)
        2    0.000    0.000    0.073    0.037 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/urllib3/connection.py:192(_new_conn)
        2    0.000    0.000    0.073    0.037 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/urllib3/util/connection.py:27(create_connection)
  292/290    0.006    0.000    0.072    0.000 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/pydantic/_internal/_fields.py:74(collect_model_fields)
       71    0.000    0.000    0.069    0.001 /Users/ash/develop/phoenix/phoenix-vapi/src/main.py:119(main)
        1    0.000    0.000    0.069    0.069 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/sounddevice.py:1(<module>)
        2    0.000    0.000    0.068    0.034 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/urllib3/connection.py:846(_ssl_wrap_socket_and_match_hostname)
        2    0.000    0.000    0.068    0.034 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/urllib3/util/ssl_.py:390(ssl_wrap_socket)
        2    0.000    0.000    0.068    0.034 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/urllib3/util/ssl_.py:488(_ssl_wrap_socket_impl)
        1    0.066    0.066    0.066    0.066 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/sounddevice.py:2875(_initialize)
     2624    0.019    0.000    0.062    0.000 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
        1    0.000    0.000    0.062    0.062 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/_utils/__init__.py:1(<module>)
        1    0.000    0.000    0.061    0.061 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/lib/streaming/__init__.py:1(<module>)
        1    0.000    0.000    0.061    0.061 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/numpy/__init__.py:1(<module>)
        1    0.000    0.000    0.061    0.061 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/lib/streaming/_assistants.py:1(<module>)
        1    0.000    0.000    0.060    0.060 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/types/beta/__init__.py:1(<module>)
        2    0.000    0.000    0.060    0.030 /Users/ash/develop/phoenix/phoenix-vapi/src/main.py:53(initialize_services)
        1    0.000    0.000    0.060    0.060 /Users/ash/develop/phoenix/phoenix-vapi/src/services/audio_service.py:16(start)
        1    0.000    0.000    0.060    0.060 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/audio_manager.py:374(start)
        6    0.000    0.000    0.058    0.010 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/socket.py:958(getaddrinfo)
        6    0.057    0.009    0.058    0.010 {built-in method _socket.getaddrinfo}
      959    0.003    0.000    0.053    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
   149/17    0.001    0.000    0.051    0.003 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/_utils/_transform.py:241(_transform_typeddict)
      298    0.000    0.000    0.050    0.000 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/pydantic/_internal/_model_construction.py:555(complete_model_class)
4587/4299    0.004    0.000    0.049    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/typing.py:426(inner)
        1    0.000    0.000    0.048    0.048 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/pydantic/fields.py:1(<module>)
      957    0.000    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      957    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       11    0.000    0.000    0.046    0.004 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/_utils/_transform.py:74(maybe_transform)
       11    0.000    0.000    0.046    0.004 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/_utils/_transform.py:88(transform)
